Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
43,Thursday May 16,boxscore,WSN,,NYM,W,7,6,,18-25,4,6,Jennings,Wheeler,Doolittle,3:16,D,28807,0.63,++,
44,Friday May 17,boxscore,WSN,,CHC,L,6,14,,18-26,4,7,Hamels,Scherzer,,4:09,N,33296,0.61,-,
45,Saturday May 18,boxscore,WSN,,CHC,W,5,2,,19-26,4,7,Strasburg,Lester,Doolittle,2:56,N,37582,0.57,+,
46,Sunday May 19,boxscore,WSN,,CHC,L,5,6,,19-27,4,8,Hendricks,Hellickson,Cishek,3:15,N,23244,0.59,-,
47,Monday May 20,boxscore,WSN,@,NYM,L,3,5,,19-28,4,9,Gagnon,Corbin,Díaz,3:12,N,22335,0.59,--,
48,Tuesday May 21,boxscore,WSN,@,NYM,L-wo,5,6,,19-29,4,9,Díaz,Rainey,,3:05,N,24631,0.51,---,
49,Wednesday May 22,boxscore,WSN,@,NYM,L,1,6,,19-30,4,9,Gagnon,Barraclough,,2:59,N,27188,0.47,----,
50,Thursday May 23,boxscore,WSN,@,NYM,L,4,6,,19-31,4,10,Gsellman,Suero,Díaz,2:53,D,29962,0.42,-----,
51,Friday May 24,boxscore,WSN,,MIA,W,12,10,,20-31,4,10,Barraclough,Anderson,Doolittle,3:59,N,29173,0.27,+,
52,Saturday May 25,boxscore,WSN,,MIA,W,5,0,,21-31,4,10,Corbin,Alcántara,,2:25,D,33163,0.32,++,
53,Sunday May 26,boxscore,WSN,,MIA,W,9,6,,22-31,4,9,Fedde,Smith,,3:06,D,26365,0.32,+++,
54,Monday May 27,boxscore,WSN,,MIA,L,2,3,,22-32,4,9.5,Ureña,Barraclough,Romo,3:00,D,21048,0.36,-,
55,Tuesday May 28,boxscore,WSN,@,ATL,W,5,4,,23-32,4,9.5,Strasburg,Fried,Doolittle,3:21,N,27573,0.41,+,
56,Wednesday May 29,boxscore,WSN,@,ATL,W,14,4,,24-32,4,9.5,Sánchez,Gausman,McGowin,3:11,N,37726,0.44,++,
