Name,Team,Pos,Injury / Surgery Date,Injury / Surgery,Status,IL Retro Date,Eligible to Return,Return Date,Latest Update
Alex Avila,WSN,C,03/31/21,COVID-19 (protocol),Activated,04/06/21,04/07/21,04/09/21,Activated
Alex Avila,WSN,C,07/02/21,Strained calf,Activated,07/03/21,07/13/21,09/01/21,Activated
Alex Avila,WSN,C,07/29/21,COVID-19 (protocol),CV-19 IL,07/29/21,07/30/21,,No timetable for return
Andrew Stevenson,WSN,OF,06/16/21,Strained oblique,Activated,06/17/21,06/27/21,07/09/21,Activated
Austin Voth,WSN,RP/SP,06/06/21,Fractured nose,Activated,06/07/21,06/17/21,06/18/21,Activated
Austin Voth,WSN,RP/SP,07/29/21,COVID-19,Activated,07/29/21,07/30/21,08/22/21,Activated
Brad Hand,WSN,RP,03/31/21,COVID-19 (protocol),Activated,04/06/21,04/07/21,04/09/21,Activated
Daniel Hudson,WSN,RP,06/09/21,Elbow inflammation,Activated,06/10/21,06/20/21,07/07/21,Activated
Erick Fedde,WSN,SP,05/19/21,COVID-19,Activated,05/19/21,05/20/21,06/12/21,Activated
Erick Fedde,WSN,SP,06/23/21,Strained oblique,Activated,06/24/21,07/04/21,07/06/21,Activated
Gerardo Parra,WSN,OF,09/04/21,Knee inflammation,Activated,09/05/21,09/15/21,10/02/21,Activated
Joe Ross,WSN,SP,07/04/21,Elbow inflammation,Activated,07/07/21,07/17/21,07/26/21,Activated
Joe Ross,WSN,SP,08/10/21,Partially torn elbow ligament,60-Day IL,08/12/21,10/11/21,,Out for 2021 season
Jon Lester,WSN,SP,03/31/21,COVID-19 (protocol),Activated,04/06/21,04/07/21,04/30/21,Activated
Jordy Mercer,WSN,INF,03/31/21,COVID-19 (protocol),Activated,04/06/21,04/07/21,04/09/21,Activated
Jordy Mercer,WSN,INF,06/30/21,Strained quad,Activated,07/01/21,07/11/21,07/16/21,Activated
Jordy Mercer,WSN,INF,07/20/21,Strained calf,Activated,07/21/21,07/31/21,09/13/21,Activated
Josh Bell,WSN,1B,03/31/21,COVID-19 (protocol),Activated,04/06/21,04/07/21,04/12/21,Activated
Josh Harrison,WSN,INF/OF,03/31/21,COVID-19 (protocol),Activated,04/06/21,04/07/21,04/12/21,Activated
Josh Rogers,WSN,SP,10/01/21,Strained hamstring,10-Day IL,10/02/21,10/12/21,,Out for 2021 season
Juan Soto,WSN,OF,04/19/21,Strained shoulder,Activated,04/20/21,04/30/21,05/04/21,Activated
Kyle Finnegan,WSN,RP,06/20/21,Strained hamstring,Activated,06/21/21,07/01/21,07/06/21,Activated
Kyle McGowin,WSN,RP,07/10/21,Biceps tendinitis,Activated,07/11/21,07/21/21,08/22/21,Activated
Kyle McGowin,WSN,RP,08/31/21,Sprained elbow,60-Day IL,09/01/21,10/31/21,,Out for 2021 season
Kyle Schwarber,WSN,OF,03/31/21,COVID-19 (protocol),Activated,04/06/21,04/07/21,04/12/21,Activated
Luis Avilán,WSN,RP,04/28/21,Tommy John surgery,60-Day IL,04/16/21,06/15/21,,Out for 2021 season
Luis García Jr.,WSN,INF,09/29/21,Strained oblique,10-Day IL,09/30/21,10/10/21,,Out for 2021 season
Max Scherzer,WSN,SP,06/11/21,Groin inflammation,Activated,06/12/21,06/22/21,06/22/21,Activated
Patrick Corbin,WSN,SP,03/31/21,COVID-19 (protocol),Activated,04/06/21,04/07/21,04/10/21,Activated
René Rivera,WSN,C,08/01/21,Elbow contusion,Activated,08/02/21,08/12/21,08/14/21,Activated
Stephen Strasburg,WSN,SP,04/13/21,Shoulder inflammation,Activated,04/15/21,04/25/21,05/21/21,Activated
Stephen Strasburg,WSN,SP,07/28/21,Thoracic outlet syndrome surgery,60-Day IL,06/01/21,07/31/21,,Out for 2021 season
Steven Fuentes,WSN,SP/RP,05/21/21,Strained shoulder,Activated,07/02/21,08/31/21,09/13/21,Activated
Tanner Rainey,WSN,RP,05/19/21,COVID-19 (protocol),Activated,05/19/21,05/20/21,05/26/21,Activated
Tanner Rainey,WSN,RP,06/27/21,Stress reaction to tibia,Activated,06/28/21,07/08/21,07/29/21,Activated
Victor Robles,WSN,OF,05/19/21,Sprained ankle,Activated,05/20/21,05/30/21,05/31/21,Activated
Wander Suero,WSN,RP,04/17/21,Strained oblique,Activated,04/18/21,04/28/21,05/12/21,Activated
Will Harris,WSN,RP,03/26/21,Hand inflammation,Activated,03/29/21,04/08/21,05/04/21,Activated
Will Harris,WSN,RP,06/04/21,Thoracic outlet syndrome surgery,60-Day IL,05/23/21,07/22/21,,Out for 2021 season
Yan Gomes,WSN,C,03/31/21,COVID-19 (protocol),Activated,04/06/21,04/07/21,04/09/21,Activated
Yan Gomes,WSN,C,07/09/21,Strained oblique,Activated,07/10/21,07/20/21,07/29/21,Activated
